date,open,high,low,close,volume,change_pct
2025-01-02,678.98,687.25,675.96,686.63,741587124,1.24
2025-01-03,688.04,706.46,687.73,705.76,871626030,2.79
2025-01-06,707.87,718.86,707.87,717.96,1109992880,1.73
2025-01-07,719.68,723.09,717.07,718.29,1230039625,0.05
2025-01-08,713.78,720.21,712.62,719.63,1124301750,0.19
2025-01-09,718.89,723.7,712.35,723.52,992523922,0.54
2025-01-10,722.21,723.47,715.68,717.89,914398003,-0.78
2025-01-13,713.98,718.96,707.6,708.21,770836664,-1.35
2025-01-14,712.03,718.6,709.11,718.04,911711452,1.39
2025-01-15,722.16,722.34,709.82,711.61,982777494,-0.9
2025-01-16,720.35,725.78,720.35,724.24,822196863,1.77
2025-01-17,723.05,725.54,722.28,724.69,844070196,0.06
2025-01-20,727.59,728.51,722.77,727.66,756376851,0.41
2025-01-21,728.57,733.91,720.73,726.07,860868642,-0.22
2025-01-22,731.17,733.89,729.46,732.31,917737627,0.86
2025-01-23,731.69,731.72,723.49,724.01,921233004,-1.13
2025-01-24,725.78,731.7,722.82,728.74,763299520,0.65
2025-01-31,724.96,728.41,723.3,728.29,687448836,-0.06
2025-02-03,718.26,718.26,700.57,703.8,843786203,-3.36
2025-02-04,713.55,726.28,713.55,719.92,996620510,2.29
2025-02-05,724.6,731.92,724.6,730.98,815898537,1.54
2025-02-06,735.94,740.32,734.91,740.32,858061283,1.28
2025-02-07,739.88,744.68,737.61,742.9,973353714,0.35
2025-02-10,740.12,750.46,735.71,749.67,1005599352,0.91
2025-02-11,751.25,754.62,749.36,749.59,987198406,-0.01
2025-02-12,748.65,748.65,742.85,745.18,895422568,-0.59
2025-02-13,748.69,751.83,744.83,749.28,815852418,0.55
2025-02-14,752.08,758.72,752.04,756.32,901114792,0.94
2025-02-17,759.21,768.48,757.77,768.48,885361507,1.61
2025-02-18,769.93,773.77,765.99,773.65,1064611034,0.67
2025-02-19,774.12,778.98,772.63,778.27,939913640,0.6
2025-02-20,777.78,781.54,766.83,768.27,1045130301,-1.28
2025-02-21,768.39,774.78,767.18,774.65,881243487,0.83
2025-02-24,766.94,773.51,764.48,773.33,904411705,-0.17
2025-02-25,766.85,773.91,765.26,769.43,962424381,-0.5
2025-02-26,769.0,774.2,766.69,771.41,909127367,0.26
2025-02-27,774.13,776.57,769.6,770.85,806160338,-0.07
2025-02-28,760.1,760.1,743.95,743.96,860877844,-3.49
2025-03-04,739.68,739.68,730.96,737.9,622276869,-0.81
2025-03-05,743.35,748.82,740.69,746.95,684374715,1.23
2025-03-06,750.43,750.43,733.49,734.92,766879796,-1.61
2025-03-07,729.43,738.1,725.97,727.7,731378055,-0.98
2025-03-10,724.78,732.62,720.13,725.82,622760098,-0.26
2025-03-11,710.2,721.7,706.96,721.5,757611773,-0.6
2025-03-12,724.58,734.14,723.52,729.49,687840839,1.11
2025-03-13,735.75,737.29,722.28,722.8,774839374,-0.92
2025-03-14,723.75,736.84,723.71,734.26,668141670,1.59
2025-03-17,740.14,743.77,735.32,743.51,693669930,1.26
2025-03-18,747.71,748.07,742.29,745.54,677134375,0.27
2025-03-19,743.21,747.53,737.52,738.35,721061736,-0.96
2025-03-20,743.06,743.39,725.1,725.15,749018294,-1.79
2025-03-21,724.94,727.15,713.82,719.41,735721739,-0.79
2025-03-24,721.39,725.34,718.67,720.22,678079652,0.11
2025-03-25,725.34,725.84,709.67,711.26,729735132,-1.24
2025-03-26,714.36,717.3,705.38,716.48,706699242,0.73
2025-03-27,710.98,718.2,706.86,707.49,766088993,-1.25
2025-03-28,708.97,709.33,691.76,693.76,964194525,-1.94
2025-03-31,683.42,686.17,671.91,672.85,895517699,-3.01
2025-04-01,681.58,695.73,677.86,691.45,769528538,2.76
2025-04-02,695.37,696.48,683.3,684.85,799717067,-0.95
2025-04-03,670.75,685.16,669.85,683.49,716602765,-0.2
2025-04-04,677.23,697.72,674.66,687.39,976563377,0.57
2025-04-07,667.02,667.02,651.29,651.3,914731766,-5.25
2025-04-08,666.01,668.82,656.07,658.45,872171575,1.1
2025-04-09,653.84,657.45,637.55,643.39,826310248,-2.29
2025-04-10,670.12,681.79,669.99,681.79,925254115,5.97
2025-04-11,673.09,695.59,672.74,695.59,1049944175,2.02
2025-04-14,699.99,709.05,699.21,708.98,1050254443,1.92
2025-04-15,709.51,712.69,704.61,711.92,894426632,0.41
2025-04-16,710.38,711.38,698.58,699.11,978750260,-1.8
2025-04-17,700.11,711.91,700.11,711.75,1082187431,1.81
2025-04-18,713.52,717.77,708.2,717.77,1156924183,0.85
2025-04-21,717.25,722.18,714.05,715.45,1164432863,-0.32
2025-04-22,711.42,717.86,711.03,716.12,1277015428,0.09
2025-04-23,724.33,726.1,720.42,726.08,1050347212,1.39
2025-04-24,726.95,729.49,723.33,726.08,1150836607,0.0
2025-04-25,729.56,732.8,728.21,729.69,1010312750,0.5
2025-04-28,730.58,732.44,718.14,719.41,990322714,-1.41
2025-04-29,722.94,727.8,721.42,726.46,943333984,0.98
2025-04-30,726.19,727.27,715.33,717.24,850397796,-1.27
2025-05-02,716.6,723.77,714.07,721.86,735178377,0.64
2025-05-07,722.41,722.81,714.8,722.81,744459684,0.13
2025-05-08,725.81,730.72,725.81,729.59,730302443,0.94
2025-05-09,731.01,731.01,719.83,722.52,852590197,-0.97
2025-05-12,724.47,727.56,719.23,725.4,1016087913,0.4
2025-05-13,731.11,735.85,730.76,731.88,1151961554,0.89
2025-05-14,732.2,739.05,726.51,739.05,970914062,0.98
2025-05-15,738.15,738.28,732.59,733.23,1108973249,-0.79
2025-05-16,734.38,734.38,722.99,725.07,1124173729,-1.11
2025-05-19,721.27,721.31,710.47,713.75,1319286832,-1.56
2025-05-20,719.36,722.17,715.12,715.55,1018198005,0.25
2025-05-21,720.64,726.68,719.96,723.62,846438915,1.13
2025-05-22,720.96,720.96,714.71,717.67,1068236847,-0.82
2025-05-23,720.5,720.5,713.22,715.98,985285124,-0.24
2025-05-26,718.48,726.93,716.86,725.27,825198990,1.3
2025-05-27,727.0,727.16,723.66,727.11,848891345,0.25
2025-05-28,731.06,733.48,727.6,728.79,974171867,0.23
2025-05-29,733.22,736.29,731.64,736.29,886682511,1.03
2025-05-30,735.26,737.43,732.55,734.35,907815111,-0.26
2025-06-02,735.14,741.41,733.97,740.29,846169410,0.81
2025-06-04,749.13,752.75,747.35,750.21,853355064,1.34
2025-06-05,751.59,761.17,750.17,756.23,861273588,0.8
2025-06-09,759.27,764.92,757.29,764.21,1055301118,1.06
2025-06-10,767.91,771.2,761.36,771.2,1351927648,0.91
2025-06-11,775.43,787.06,774.84,786.29,1566716471,1.96
2025-06-12,786.27,793.2,784.96,789.45,1288365758,0.4
2025-06-13,792.68,792.68,761.42,768.86,1096004622,-2.61
2025-06-16,767.64,777.68,763.81,777.26,1111396074,1.09
2025-06-17,780.08,785.76,766.56,775.65,1136678019,-0.21
2025-06-18,772.6,781.35,772.6,779.73,1006940370,0.53
2025-06-19,783.29,783.3,776.21,782.51,1103659388,0.36
2025-06-20,783.63,791.53,780.65,791.53,1110932295,1.15
2025-06-23,779.67,784.79,772.91,784.79,991615723,-0.85
2025-06-24,796.06,801.34,794.87,800.93,1076177220,2.06
2025-06-25,802.92,803.93,793.03,798.21,1165502459,-0.34
2025-06-26,799.21,799.21,779.72,787.95,938619650,-1.29
2025-06-27,789.93,790.67,778.6,781.56,888662093,-0.81
2025-06-30,783.53,784.65,778.58,781.5,801110446,-0.01
2025-07-01,783.65,788.38,783.29,783.67,971142670,0.28
2025-07-02,784.73,787.11,769.91,782.17,945635774,-0.19
2025-07-03,785.77,793.61,783.53,793.33,1087732758,1.43
2025-07-04,792.65,793.77,775.58,775.8,1131389159,-2.21
2025-07-07,774.19,779.98,771.46,778.46,1416111646,0.34
2025-07-08,779.28,784.37,775.57,784.24,1205277647,0.74
2025-07-09,786.33,790.36,783.48,790.36,860876616,0.78
2025-07-10,794.64,798.73,792.05,797.7,905082870,0.93
2025-07-11,799.96,805.9,798.83,800.47,976326744,0.35
2025-07-14,802.73,803.1,795.57,799.37,939783192,-0.14
2025-07-15,800.24,812.91,798.83,812.88,816034316,1.69
2025-07-16,810.09,813.19,805.13,812.23,946532947,-0.08
2025-07-17,814.92,818.27,806.63,818.27,951612291,0.74
2025-07-18,821.58,822.83,815.45,820.67,827138343,0.29
2025-07-21,819.84,822.76,817.34,821.69,866807250,0.12
2025-07-22,822.33,827.82,808.81,812.97,993451581,-1.06
2025-07-23,815.88,815.88,802.3,813.56,909010533,0.07
2025-07-24,816.94,819.95,809.26,809.89,889008115,-0.45
2025-07-25,809.43,810.67,805.83,806.95,714505962,-0.36
2025-07-28,811.26,811.49,800.76,804.4,727049937,-0.32
2025-07-29,803.38,807.09,795.67,804.45,620970466,0.01
2025-07-30,804.76,809.27,803.34,803.67,770147386,-0.1
2025-07-31,806.21,809.03,799.51,805.24,831711599,0.2
2025-08-01,796.24,796.24,772.66,772.79,835015170,-4.03
2025-08-04,773.83,786.35,770.35,784.06,705682917,1.46
2025-08-05,791.94,801.63,791.94,798.6,689089323,1.85
2025-08-06,796.48,803.55,793.85,803.49,696604882,0.61
2025-08-07,805.27,806.47,801.7,805.81,765440400,0.29
2025-08-08,806.43,812.48,806.43,809.27,848042613,0.43
2025-08-11,810.51,813.52,805.9,811.85,928260067,0.32
2025-08-12,813.12,820.27,806.84,807.19,1106879507,-0.57
2025-08-13,816.54,816.66,806.26,814.1,979563280,0.86
2025-08-14,814.48,817.22,812.38,815.26,912584241,0.14
2025-08-18,811.52,812.49,798.05,798.05,764722908,-2.11
2025-08-19,799.54,800.07,785.95,787.96,866727946,-1.26
2025-08-20,778.63,778.63,766.57,777.61,877724027,-1.31
2025-08-21,780.32,784.73,776.31,777.24,894577484,-0.05
2025-08-22,778.77,785.55,778.73,782.51,833027192,0.68
2025-08-25,791.66,798.57,791.66,798.02,770617645,1.98
2025-08-26,793.99,802.84,793.37,801.66,784245468,0.46
2025-08-27,802.57,803.19,797.6,801.72,729017215,0.01
2025-08-28,800.49,801.37,797.37,798.43,787080503,-0.41
2025-08-29,801.96,805.94,795.56,796.91,855305612,-0.19
2025-09-01,795.3,796.23,782.54,785.0,1093852709,-1.49
2025-09-02,789.35,794.0,785.3,794.0,1039046890,1.15
2025-09-03,793.28,796.92,789.27,796.81,1189073685,0.35
2025-09-04,799.53,806.78,799.53,805.42,1252331330,1.08
2025-09-05,809.09,811.71,807.2,811.4,1013622146,0.74
2025-09-08,815.9,818.61,813.43,818.6,886185504,0.89
2025-09-09,820.75,824.82,817.4,824.82,1282471139,0.76
2025-09-10,828.4,833.21,827.57,833.0,895071232,0.99
2025-09-11,834.68,836.55,831.23,834.76,960433626,0.21
2025-09-12,839.73,847.36,839.56,847.08,954437631,1.48
2025-09-15,849.64,852.69,843.43,852.69,944742939,0.66
2025-09-16,854.4,855.5,850.15,851.84,1035618140,-0.1
2025-09-17,850.15,850.15,844.16,845.53,1004374095,-0.74
2025-09-18,851.94,857.12,850.23,857.11,968140998,1.37
2025-09-19,858.08,863.11,854.0,863.11,951397580,0.7
2025-09-22,869.06,875.27,867.11,874.36,956058154,1.3
2025-09-23,877.18,877.56,866.65,872.21,964171331,-0.25
2025-09-24,870.54,871.82,851.38,860.94,1036233329,-1.29
2025-09-25,858.45,862.08,850.13,852.48,871793699,-0.98
2025-09-26,847.67,847.73,829.47,835.19,749241693,-2.03
2025-09-29,840.62,847.57,837.89,846.71,663695639,1.38
2025-09-30,847.52,849.18,841.65,841.99,839740111,-0.56
2025-10-01,846.32,849.8,844.0,845.34,620014129,0.4
2025-10-02,853.4,854.87,848.75,854.25,820879618,1.05
2025-10-10,858.86,859.98,849.64,859.49,773577211,0.61
2025-10-13,845.76,861.79,840.28,860.49,698531892,0.12
2025-10-14,865.37,870.72,839.27,847.96,996539183,-1.46
2025-10-15,853.17,864.77,850.3,864.72,879761725,1.98
2025-10-16,866.82,868.36,862.63,865.41,899457604,0.08
2025-10-17,862.71,871.06,859.19,859.54,859531946,-0.68
2025-10-20,864.98,876.47,862.01,875.77,846812813,1.89
2025-10-21,881.53,882.1,867.62,872.5,1118285139,-0.37
2025-10-22,872.51,879.31,866.21,879.15,871961429,0.76
2025-10-23,874.13,880.33,868.74,872.03,1060355971,-0.81
2025-10-24,880.61,884.06,876.38,883.08,961806778,1.27
2025-10-27,890.23,902.72,888.87,902.7,997294118,2.22
2025-10-28,902.82,906.71,896.36,903.3,842074817,0.07
2025-10-29,906.5,906.5,896.11,901.59,976841443,-0.19
2025-10-30,903.24,904.34,883.68,890.86,1214715904,-1.19
2025-10-31,894.54,901.8,891.32,900.42,895005986,1.07
2025-11-03,906.19,914.91,902.29,914.55,1037137247,1.57
2025-11-04,914.87,932.15,912.78,926.57,931506224,1.31
2025-11-05,919.28,919.28,871.79,901.89,1130176701,-2.66
2025-11-06,915.43,921.22,890.58,898.17,981007229,-0.41
2025-11-07,882.94,894.83,864.67,876.81,1041127667,-2.38
2025-11-10,882.44,889.08,872.13,888.35,727289624,1.32
2025-11-11,893.91,903.09,876.56,884.27,966120767,-0.46
2025-11-12,890.99,906.59,887.2,906.51,1001471641,2.52
2025-11-13,904.36,920.13,902.34,918.37,911086896,1.31
2025-11-14,900.42,910.04,897.09,897.9,831830184,-2.23
2025-11-17,904.15,905.42,895.69,902.67,715016164,0.53
2025-11-18,899.62,900.73,873.04,878.7,849174335,-2.66
2025-11-19,881.49,881.81,854.23,871.32,748690365,-0.84
2025-11-20,884.1,894.87,884.1,891.94,636594701,2.37
2025-11-21,867.45,870.51,860.17,863.95,752170109,-3.14
2025-11-24,873.3,873.3,850.09,856.44,707039268,-0.87
2025-11-25,867.84,871.68,851.41,856.03,679351904,-0.05
2025-11-26,863.28,877.58,859.32,877.32,623313155,2.49
2025-11-27,879.44,884.0,878.04,880.06,721126512,0.31
2025-11-28,888.75,912.67,888.1,912.67,802794496,3.71
2025-12-01,920.69,933.26,917.18,922.38,847837459,1.06
2025-12-02,921.37,928.42,914.67,928.42,783738636,0.65
2025-12-03,931.49,932.98,926.08,932.01,816178315,0.39
2025-12-04,934.01,937.88,924.62,929.83,754373225,-0.23
2025-12-05,930.75,933.06,916.11,924.74,699773919,-0.55
2025-12-08,928.52,929.92,922.17,927.79,702958391,0.33
2025-12-09,926.93,932.57,924.55,931.35,711665879,0.38
2025-12-10,932.37,936.75,927.36,935.0,770849791,0.39
2025-12-11,940.59,943.19,929.56,934.64,912428273,-0.04
2025-12-12,933.99,938.11,930.21,937.34,1012037244,0.29
2025-12-15,925.6,939.42,921.09,938.83,991670245,0.16
2025-12-16,938.23,938.23,915.49,916.11,933444140,-2.42
2025-12-17,922.03,922.74,907.24,911.07,1005567478,-0.55
2025-12-18,899.3,907.54,895.19,901.33,900506774,-1.07
2025-12-19,909.7,922.1,899.25,915.27,973702578,1.55
2025-12-22,923.97,929.83,923.2,929.14,986661769,1.52
2025-12-23,932.48,932.48,918.54,919.56,956469284,-1.03
2025-12-24,921.01,921.01,913.21,915.2,833834632,-0.47
2025-12-26,920.9,923.61,913.85,919.67,829359264,0.49
2025-12-29,923.22,932.64,921.12,932.59,913419388,1.4
2025-12-30,928.99,929.95,920.56,925.47,818897041,-0.76
